"Jahr","PLZ","Generalabonnement","Generalabonnement.Flag","Halbtaxabonnement","Halbtaxabonnement.Flag","Bevölkerung","anteil_ga_besitzer","anteil_hta_besitzer"
2018,4055,1062,NA,6674,NA,21753,4.8820852296235,30.680825633246
2018,4108,53,NA,455,NA,1423,3.72452565003514,31.9747013352073
2018,4116,10.3114754098361,1,170,NA,750,1.37486338797814,22.6666666666667
2018,4118,47,NA,461,NA,1310,3.58778625954198,35.1908396946565
2018,4125,747,NA,6691,NA,21339,3.50063264445382,31.3557336332537
2018,4127,317,NA,2580,NA,10681,2.96788690197547,24.1550416627657
2018,4147,238,NA,2622,NA,10364,2.29641065225782,25.2991123118487
2018,4202,31,NA,383,NA,1541,2.01168072680078,24.8539909149903
2018,4223,10.3114754098361,1,181,NA,691,1.49225403905008,26.1939218523878
2018,4226,88,NA,648,NA,3854,2.28334198235599,16.8137000518941
2018,4234,10.3114754098361,1,111,NA,668,1.54363404338863,16.6167664670659
2018,4244,54,NA,439,NA,1863,2.89855072463768,23.5641438539989
2018,4245,37,NA,288,NA,1257,2.94351630867144,22.9116945107399
2018,4254,10.3114754098361,1,133,NA,753,1.36938584459974,17.6626826029216
2018,4305,10.3114754098361,1,103,NA,396,2.60390793177678,26.010101010101
2018,4314,44,NA,475,NA,2300,1.91304347826087,20.6521739130435
2018,4322,29,NA,261,NA,1467,1.97682344921609,17.7914110429448
2018,4334,47,NA,261,NA,1616,2.90841584158416,16.1509900990099
2018,4412,61,NA,349,NA,1116,5.46594982078853,31.2724014336918
2018,4413,39,NA,250,NA,1043,3.7392138063279,23.9693192713327
2018,4416,168,NA,1303,NA,4387,3.82949623888762,29.7013904718486
2018,4418,46,NA,402,NA,1588,2.89672544080605,25.3148614609572
2018,4421,10.3114754098361,1,110,NA,373,2.764470619259,29.4906166219839
2018,4431,10.3114754098361,1,181,NA,659,1.56471554018757,27.4658573596358
2018,4434,70,NA,534,NA,2528,2.76898734177215,21.123417721519
2018,4437,31,NA,219,NA,1072,2.89179104477612,20.4291044776119
2018,4442,30,NA,150,NA,756,3.96825396825397,19.8412698412698
2018,4447,22,NA,135,NA,542,4.0590405904059,24.9077490774908
2018,4451,10.3114754098361,1,165,NA,620,1.66314119513485,26.6129032258065
2018,4464,38,NA,327,NA,922,4.12147505422994,35.4663774403471
2018,4467,23,NA,216,NA,766,3.00261096605744,28.1984334203655
2018,4468,10.3114754098361,1,107,NA,513,2.0100341929505,20.8576998050682
2018,4495,10.3114754098361,1,168,NA,508,2.02981799406222,33.0708661417323
2018,4497,42,NA,210,NA,758,5.54089709762533,27.7044854881267
2018,4500,2414,NA,7419,NA,17266,13.9812347967103,42.968840495772
2018,4514,117,NA,609,NA,1529,7.65206017004578,39.8299542184434
2018,4515,181,NA,681,NA,1713,10.5662580268535,39.7548161120841
2018,4522,80,NA,483,NA,1254,6.37958532695375,38.5167464114833
2018,4528,600,NA,2522,NA,9012,6.6577896138482,27.9849090102086
2018,4536,80,NA,409,NA,1515,5.28052805280528,26.996699669967
2018,4539,10.3114754098361,1,174,NA,694,1.48580337317523,25.0720461095101
2018,4543,123,NA,695,NA,2197,5.59854346836595,31.6340464269458
2018,4552,391,NA,1643,NA,6530,5.98774885145482,25.1607963246554
2018,4558,34,NA,214,NA,746,4.55764075067024,28.686327077748
2018,4565,74,NA,621,NA,2009,3.68342458934793,30.9109009457442
2018,4576,10.3114754098361,1,58,NA,175,5.89227166276347,33.1428571428571
2018,4583,24,NA,182,NA,568,4.22535211267606,32.0422535211268
2018,4586,20,NA,131,NA,365,5.47945205479452,35.8904109589041
2018,4600,4142,NA,5704,NA,18386,22.5280104427282,31.0236049167845
2018,4613,73,NA,326,NA,1012,7.21343873517787,32.2134387351779
2018,4615,0,NA,10.8771929824561,2,29,0,37.5075620084694
